"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","type","6","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","6","site","1750","12","0.203429","0.035327","0.08128"
"all_eligible","type","6","type_site","1750","12","0.214857","0.084556","0.109781"
"all_eligible","type","6","length_type_site","1750","12","0.187429","0.109995","0.112747"
"all_eligible","type","6","edge_frame","1750","12","0.185143","0.055965","0.080627"
"all_eligible","type","6","token_nb","1750","12","0.191429","0.071705","0.086962"
"all_eligible","type","7","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","7","length","1750","12","0.168571","0.049051","0.072893"
"all_eligible","type","7","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","7","site","1750","12","0.215429","0.048544","0.089787"
"all_eligible","type","7","type_site","1750","12","0.212","0.094728","0.117906"
"all_eligible","type","7","length_type_site","1750","12","0.190286","0.106603","0.112116"
"all_eligible","type","7","edge_frame","1750","12","0.207429","0.068285","0.092988"
