"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"all_triads","H-1845","42","14","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","060;240;642;692;740","151;416;840","400;617;829","060;240;642;692;740","151;416;840","400;617;829"
"all_triads","H-2130","43","52","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900"
"all_triads","H-1138","44","28","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","060;240;603;692;740","151;416;840","382;400;740","060;240;603;692;740","151;416;840","382;400;740"
"all_triads","H-1817","45","15","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","400;525;554","233;236;400","003;158;494","400;525;554","233;236;400","003;158;494"
"all_triads","H-1874","46","51","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-771","47","2","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","032;257;840","016;220;400;520","220;525;550","032;257;840","016;220;400;520","220;525;550"
"all_triads","H-946","48","68","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-983","49","21","B_visual_object_order_matched","moderate_repetition_pressure","local_contrast_stress","core","240;400;637;740","176;400;740","032;700;741;840","240;400;637;740","176;400;740","032;700;741;840"
"all_triads","H-1824","50","16","C_visual_object_matched","moderate_repetition_pressure","local_contrast_stress","core","031;060;176;201;740","032;740;790","118;156;400","031;060;176;201;740","032;740;790","118;156;400"
"all_triads","H-1850","51","1","D_object_plus_some_context","low_repetition_pressure","independent_low_copy","core","382;400;740;760","176;233;435;690;740;803","001;031;140;740","382;400;740;760","176;233;435;690;740;803","001;031;140;740"
"all_triads","H-2102","52","48","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900","NO_LONGER_TEXT","NO_LONGER_TEXT","004;740;900"
"all_triads","H-319","53","77","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","220;415;520","176;400;740","004;740;900","220;415;520","176;400;740","004;740;900"
"all_triads","H-785","54","78","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
