"start_pair","count","third_values","sites","types","examples"
"820-590","1","","Mohenjo-daro","SEAL:S","2304.1"
"820-740","1","","Harappa","TAB:I","903.2"
"820-816","1","595","Harappa","SEAL:S","1513.1"
"820-880","1","065","Mohenjo-daro","SEAL:S","2535.1"
"822-140","1","015","Chanhu-daro","SEAL:S","113.1"
"824-000","1","","Harappa","TAB:I","1789.2"
"824-700","1","","Harappa","TAB:B","806.1"
"824-852","1","","Harappa","TAB:I","1790.1"
"825-000","1","","Harappa","POT:T:g","3944.1"
"831-413","1","840","Luristan","SEAL:C","2153.1"
"832-000","1","","Harappa","TAB:B","1688.2"
"832-001","1","740","Dholavira","SEAL:R","4274.1"
"832-002","1","861","Lothal","SEAL:S","2024.1"
"832-006","1","740","Mohenjo-daro","IMPL","2369.1"
"832-136","1","","Mohenjo-daro","SEAL:S","3243.1"
"832-140","1","013","Dholavira","SEAL:R","4201.1"
"838-002","1","817","Mohenjo-daro","TAB:B","3707.1"
"839-000","1","","Kalibangan","MISC","5504.1"
"840-000","1","000","Mohenjo-daro","TAB:B","2961.2"
"840-013","1","","Harappa","TAB:I","4577.1"
"840-032","1","","Mohenjo-daro","MISC","3071.1"
"840-527","1","002","Dholavira","SEAL:R","4168.1"
"840-705","1","","Mohenjo-daro","BNGL","4032.1"
"840-790","1","","Mohenjo-daro","BNGL","3836.1"
"842-032","1","031","Chanhu-daro","SEAL:S","64.1"
"842-374","1","125","Mohenjo-daro","SEAL:S","3077.1"
"842-391","1","297","Mohenjo-daro","SEAL:S","3399.1"
"842-535","1","099","Mohenjo-daro","SEAL:S","2757.1"
"842-871","1","192","Mohenjo-daro","SEAL:S","2551.1"
"845-630","1","","Mohenjo-daro","BNGL","2187.1"
"849-002","1","","Kalibangan","POT:T:g","5320.1"
"849-435","1","","Kalibangan","POT:T:g","5319.1"
"850-031","1","","Mohenjo-daro","SEAL:S","2357.2"
"850-095","1","000","Harappa","TAB:B","1252.1"
"850-700","1","453","Harappa","POT:T:g","898.1"
"850-790","1","","Harappa","SEAL:S","5408.1"
"850-825","1","646","Harappa","POT:T:g","899.1"
"855-297","1","892","Mohenjo-daro","SEAL:S","3488.1"
"856-000","1","000","Mohenjo-daro","TAB:B","2937.1"
"858-740","1","100","Mohenjo-daro","SEAL:S","2647.1"
"860-520","1","231","Mohenjo-daro","SEAL:S","3515.1"
"861-000","1","","Harappa","TAB:I","914.2"
"861-260","1","832","Mohenjo-daro","SEAL:S","3267.1"
"861-292","1","590","Mohenjo-daro","SEAL:S","3467.1"
"861-362","1","","Mohenjo-daro","SEAL:R","3666.1"
"861-416","1","","Harappa","TAB:I","762.2"
"861-495","1","368","Mohenjo-daro","SEAL:S","2721.1"
"861-576","1","545","Harappa","SEAL:S","1460.1"
"861-892","1","692","Mohenjo-daro","SEAL:S","3540.1"
"861-920","1","520","Harappa","SEAL:S","1153.1"
"865-032","1","226","Mohenjo-daro","SEAL:S","2336.1"
"865-685","1","226","Lothal","SEAL:S","2019.1"
"866-151","1","033","Kalibangan","SEAL:S","1896.1"
"868-435","1","255","Harappa","TAB:I","287.2"
"869-000","1","","Harappa","TAB:I","268.2"
"869-575","1","","Harappa","TAB:I","816.2"
"869-700","1","000","Harappa","TAB:I","1791.2"
"871-000","1","740","Mohenjo-daro","TAB:B","3691.1"
"871-740","1","643","Mohenjo-daro","SEAL:S","3104.1"
"871-947","1","400","Kalibangan","SEAL:S","1890.1"
"872-032","1","692","Mohenjo-daro","SEAL:S","2661.1"
"874-543","1","350","Mohenjo-daro","SEAL:S","3487.1"
"875-700","1","384","Mohenjo-daro","TAB:B","3709.1"
"876-032","1","578","Harappa","TAB:I","672.3"
"877-000","1","000","Kalibangan","POT:T:g","1962.1"
"877-032","1","480","Lothal","POT:T:g","2138.1"
"877-225","1","","Harappa","SEAL:S","1432.1"
"879-261","1","","Mohenjo-daro","SEAL:S","2469.1"
"892-000","1","","Nuhato","POT:T:g","5253.1"
"892-033","1","","Dholavira","TAB:I","4258.1"
"892-070","1","590","Mohenjo-daro","SEAL:S","3299.1"
"892-374","1","740","Mohenjo-daro","SEAL:S","2556.1"
"898-017","1","645","Mohenjo-daro","IMPL","2421.1"
"899-484","1","380","Mohenjo-daro","SEAL:S","2849.3"
"900-002","1","817","Harappa","SEAL:R","1573.1"
"900-004","1","","Mohenjo-daro","SEAL:R","2449.1"
"904-004","1","821","Mohenjo-daro","TAG:L","3680.1"
"904-220","1","032","Mohenjo-daro","SEAL","2430.1"
"904-745","1","001","Mohenjo-daro","SEAL:R","3597.1"
"906-090","1","000","Banawali","TAB:B","42.1"
"906-200","1","740","Mohenjo-daro","SEAL:S","2521.1"
"907-161","1","","Nausharo","POT:T:g","3852.1"
"909-540","1","540","Chanhu-daro","ROD","120.1"
"911-006","1","","Mohenjo-daro","IMPL","2362.2"
"913-000","1","","Kalibangan","ROD","1965.2"
"913-005","1","004","Mohenjo-daro","IMPL","2370.2"
"920-318","1","233","Harappa","TAB:B","915.2"
"920-388","1","","Mohenjo-daro","SEAL:S","3497.1"
"920-440","1","692","Harappa","SEAL:S","1068.1"
"920-706","1","193","Harappa","SEAL:S","1066.1"
"921-000","1","","Salut","TAG","4174.1"
"921-100","1","415","Mohenjo-daro","TAB:B","2975.3"
"924-132","1","002","Mohenjo-daro","SEAL:S","2350.1"
"930-000","1","071","Mohenjo-daro","SEAL:S","3083.1"
"930-070","1","615","Mohenjo-daro","SEAL:S","3473.1"
"930-740","1","100","Mohenjo-daro","SEAL:S","3396.1"
"930-804","1","220","Mohenjo-daro","SEAL:S","2779.1"
"931-000","1","","Kanmer","IMPL","3902.2"
"932-740","1","055","Mohenjo-daro","SEAL:S","2546.1"
"951-090","1","","Harappa","TAB:B","699.2"
"953-817","1","390","Mohenjo-daro","SEAL:S","2832.1"
