run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc_position_slot_shuffle__small__seed20260714,ivc_position_slot_shuffle,ivc_position_slot_shuffle,small,20260714,random_initialization,6537280,600,236266,1784,653,3571,0.014943960149439602,993,768,4.911518732706706,135.84557093214755,0.10416666666666667,0.21614583333333334,0.9660059213638306,0.8695652173913043,0.8188405797101449,100.15046027600056
ivc__small__seed20260715,ivc,ivc,small,20260715,random_initialization,6537794,840,337910,1796,665,3646,0.0,991,712,3.9786554400840504,53.44512572192873,0.28792134831460675,0.4747191011235955,0.8592475291048542,0.9338235294117647,0.9264705882352942,139.06183589400007
ivc__medium__seed20260715,ivc,ivc,medium,20260715,random_initialization,18123074,780,313800,1796,665,3646,0.0,991,712,4.048812094699131,57.32931478325582,0.2710674157303371,0.4606741573033708,0.8714534888106785,0.9411764705882353,0.9411764705882353,214.755544913
linear_b__small__seed20260715,linear_b,linear_b,small,20260715,random_initialization,6414434,300,118499,278,194,1237,0.0,42,257,2.8330703820699847,16.997569819949888,0.4046692607003891,0.5992217898832685,0.7496524367351013,0.9761904761904762,0.9761904761904762,63.80587452999998
sumtablets__small__seed20260715,sumtablets,sumtablets,small,20260715,random_initialization,6483053,1590,621518,1798,1429,6788,0.0,187,946,4.411622771249009,82.40307640651467,0.16596194503171247,0.3594080338266385,0.953774159856881,0.9037433155080213,0.893048128342246,310.588565597
ivc_row_internal_shuffle__small__seed20260715,ivc_row_internal_shuffle,ivc_row_internal_shuffle,small,20260715,random_initialization,6537794,660,263827,1791,661,3636,0.006211180124223602,991,712,4.413065020957689,82.52200796334229,0.20365168539325842,0.3946629213483146,0.9206370235828871,0.5147058823529411,0.5073529411764706,140.512834386
ivc_position_slot_shuffle__small__seed20260715,ivc_position_slot_shuffle,ivc_position_slot_shuffle,small,20260715,random_initialization,6537537,615,246250,1790,661,3634,0.007453416149068323,991,712,4.653174925386236,104.9175627773711,0.14887640449438203,0.2808988764044944,0.94055687979366,0.9264705882352942,0.8161764705882353,130.24674869400008
ivc__small__seed20260716,ivc,ivc,small,20260716,random_initialization,6537794,870,349685,1796,663,3646,0.0,994,775,4.475222564205047,87.81414251980883,0.2064516129032258,0.4,0.9224730633151147,0.8201438848920863,0.8489208633093526,180.01548157899992
ivc__medium__seed20260716,ivc,ivc,medium,20260716,random_initialization,18123074,735,295525,1796,663,3646,0.0,994,775,4.5356249015562,93.28178902998657,0.20387096774193547,0.38451612903225807,0.9323169708251953,0.8489208633093526,0.8776978417266187,175.8778119870001
linear_b__small__seed20260716,linear_b,linear_b,small,20260716,random_initialization,6414434,300,118035,278,194,1226,0.0,42,262,2.7760910733055524,16.056135863420515,0.3969465648854962,0.5992366412213741,0.7511073451005775,0.9523809523809523,0.9761904761904762,60.94489374199998
sumtablets__small__seed20260716,sumtablets,sumtablets,small,20260716,random_initialization,6483053,1855,680274,1798,1552,7463,0.0,120,597,4.541729337605998,93.85296332050369,0.16750418760469013,0.3065326633165829,0.9589749564677227,0.8416666666666667,0.8833333333333333,323.55486270000006
ivc_row_internal_shuffle__small__seed20260716,ivc_row_internal_shuffle,ivc_row_internal_shuffle,small,20260716,random_initialization,6537794,780,312227,1791,660,3638,0.006234413965087282,994,775,4.802124921737179,121.76889216815731,0.16516129032258065,0.3367741935483871,0.9669183152721774,0.41007194244604317,0.5107913669064749,173.016125067
ivc_position_slot_shuffle__small__seed20260716,ivc_position_slot_shuffle,ivc_position_slot_shuffle,small,20260716,random_initialization,6537537,615,243574,1782,651,3601,0.017456359102244388,994,775,4.959399714316091,142.5082245688891,0.09935483870967741,0.21806451612903227,0.9685715583062942,0.8489208633093526,0.8201438848920863,135.04660170199998
